Row.names	sub_grp_6	d	p	c	o	f	g	s	
2378	GL72_UP_concoct_172_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2382	GL72_UP_concoct_22	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__UBA5216	s__
2386	GL72_UP_concoct_269	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__PALSA-1004	s__
2387	GL72_UP_concoct_270_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__JACMNW01	s__
2394	GL72_UP_metabat_156_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Methylibium	s__
2395	GL72_UP_metabat_178_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2396	GL72_UP_metabat_244	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomicrobium	s__
2401	GL72_UP_metabinner_127_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2402	GL72_UP_metabinner_14	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SURF-13	f__SURF-13	g__JACPZD01	s__
2405	GL72_UP_metabinner_3	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__JADJTR01	s__
2409	GL72_UP_metabinner_56	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylotenera_A	s__
2419	GL73_DN_concoct_209	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__
2420	GL73_DN_concoct_218_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAISIP01	s__
2422	GL73_DN_concoct_42_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2426	GL73_DN_metabat_33_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylotenera_A	s__
2430	GL73_UP_concoct_156	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
2439	GL74_DN_concoct_206_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__SZUA-430	s__
2441	GL74_DN_concoct_234_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__SCMT01	s__
2448	GL74_DN_concoct_50_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__	s__
2450	GL74_DN_concoct_94	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__JAEUOS01	s__
2451	GL74_DN_metabat_135_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
2453	GL74_DN_metabat_57	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__
2454	GL74_DN_metabinner_10	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__
2456	GL74_DN_metabinner_13	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__	s__
2460	GL74_DN_metabinner_50_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__LMDS01	s__
2462	GL74_DN_metabinner_58	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2463	GL74_DN_metabinner_6	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFIP01	s__
2465	GL74_UP_concoct_102_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__VFJL01	s__
2467	GL74_UP_concoct_120_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAILRJ01	s__
2472	GL74_UP_concoct_263	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Pseudolysobacter	s__
2473	GL74_UP_concoct_297_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
2476	GL74_UP_concoct_66_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__UBA5216	s__
2479	GL74_UP_metabat_127	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__JACMMS01	s__
2480	GL74_UP_metabat_154	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAHJXG01	s__
2490	GL74_UP_metabinner_25_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2491	GL74_UP_metabinner_37	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2498	GL75_DN_concoct_248	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Ga0077523	g__Ga0077523	s__
2501	GL75_DN_concoct_75	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAHJXF01	s__
2504	GL75_UP_concoct_106	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Janthinobacterium	s__
2505	GL75_UP_concoct_12	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
2509	GL75_UP_concoct_54	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__UBA1936	s__
2510	GL75_UP_metabat_95_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Schlegelella_A	s__
2516	GL79_DN_concoct_59_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2517	GL79_DN_metabat_88_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2524	GL79_UP_metabinner_10	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAILRJ01	s__
2530	GL80_UP_concoct_13	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Chakrabartia	s__
2535	GL81_UP_concoct_89	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2536	GL81_UP_metabat_51	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__	s__
2538	GL82_DN_concoct_170_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
2540	GL82_DN_concoct_65	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2543	GL82_DN_metabat_121_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__
2544	GL82_DN_metabat_42_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__JAEUOS01	s__
2545	GL82_DN_metabinner_32_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__CYK-10	s__
2551	GL82_UP_concoct_81	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2552	GL82_UP_concoct_82	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__	s__
2553	GL82_UP_concoct_91	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__SHWF01	s__
2557	GL82_UP_metabinner_2_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
2564	GL85_DN_concoct_174_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAGOEY01	s__
2565	GL85_DN_concoct_176_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__JAEUMZ01	s__
2576	GL85_DN_metabat_19_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
2577	GL85_DN_metabat_26	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Methylibium	s__
2584	GL85_DN_metabinner_5	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2586	GL85_UP_concoct_103	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__REEB77	s__
2587	GL85_UP_concoct_105_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__4M-Z18	s__
2591	GL85_UP_concoct_166	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2593	GL85_UP_concoct_211	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__
2595	GL85_UP_concoct_52	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
2596	GL85_UP_concoct_71	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__CAHJWT01	s__
2599	GL85_UP_metabat_142	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
2600	GL85_UP_metabat_21_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-40	g__JACQAP01	s__
2602	GL85_UP_metabinner_10_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__
2608	GL86_UP_concoct_125	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__SHXR01	s__
2609	GL86_UP_concoct_8	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__JACCXJ01	f__JACCXJ01	g__	s__
2610	GL88_DN_concoct_77	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA6429	f__UBA6429	g__JACQBC01	s__
2612	GL88_DN_metabat_77	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
2615	GL88_UP_metabat_31_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2617	GL90_DN_concoct_106	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Gallionella	s__
2619	GL90_DN_metabat_74	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2622	GL90_UP_concoct_194	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Stagnimonas	s__
2625	GL90_UP_metabinner_2	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__RBG-16-58-11	g__RBG-16-58-11	s__
2628	GL91_DN_concoct_57	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2635	GL92_DN_concoct_144	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__	s__
2636	GL92_DN_concoct_150_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__
2637	GL92_DN_metabat_77_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2638	GL92_DN_metabat_85_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__	s__
2639	GL92_DN_metabinner_6	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2640	GL92_UP_concoct_102	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ga0077536	f__Ga0077536	g__JADJYF01	s__
2641	GL92_UP_concoct_17_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
2643	GL92_UP_concoct_255	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rudaea	s__
2644	GL92_UP_concoct_44_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2645	GL92_UP_concoct_46_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__CADEHE01	g__	s__
2648	GL92_UP_metabat_68	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hylemonella	s__
2650	GL92_UP_metabinner_4_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__JAEUMY01	s__
2654	GL93_DN_concoct_150	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__Casimicrobium	s__
2659	GL93_DN_metabat_54_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2660	GL93_DN_metabat_55	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2661	GL93_DN_metabinner_11_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
2662	GL93_DN_metabinner_15	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2665	GL93_UP_concoct_124	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__
2666	GL93_UP_concoct_135	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2670	GL93_UP_concoct_237_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Pseudolysobacter	s__
2672	GL93_UP_concoct_265	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2678	GL93_UP_concoct_99	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUOS01	g__	s__
2679	GL93_UP_metabat_12	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
2682	GL93_UP_metabat_6_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2695	GL94_DN_metabinner_22_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylotenera_A	s__
2704	GL94_UP_concoct_54	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__UKL13-2	s__
2706	GL94_UP_metabat_141	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
2713	GL94_UP_metabinner_55_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__
2717	GL95_DN_concoct_183	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomicrobium	s__
2724	GL95_UP_concoct_70_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
2725	GL95_UP_concoct_73_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAISIP01	s__
2726	GL95_UP_metabat_143	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2727	GL95_UP_metabat_47	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2728	GL95_UP_metabat_55_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__PALSA-1004	s__
2730	GL95_UP_metabinner_14	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylotenera	s__
2737	GL96_UP_concoct_150	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__	s__
2738	GL96_UP_concoct_23	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SZUA-21	f__SZUA-21	g__	s__
2739	GL96_UP_concoct_44	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Tenderiales	f__Tenderiaceae	g__Tenderia	s__
2740	GL96_UP_metabat_10_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__
2741	GL97_DN_concoct_123	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__Thiobacillus	s__
2742	GL97_DN_concoct_170	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__PBB1	s__
2747	GL97_DN_metabinner_5_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__
2750	GL97_UP_metabat_24_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__UBA6901	g__	s__
2760	GL98_UP_concoct_145_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__JAEUMZ01	s__
2761	GL98_UP_concoct_6_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2763	GL98_UP_metabat_4	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2768	GL98_UP_metabinner_31_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2769	GL98_UP_metabinner_63	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Chakrabartia	s__
2770	GL98_UP_metabinner_7	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__
2773	GL99_DN_concoct_175	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__UBA7672	s__
2774	GL99_DN_concoct_236_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__Casimicrobium	s__
2776	GL99_DN_concoct_86	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus_B	s__
2781	GL99_UP_concoct_70	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__UBA1936	s__
2782	GL99_UP_metabat_4	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium_A	s__
2784	GL99_UP_metabat_63	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__VFJL01	s__
2785	GL99_UP_metabinner_20	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2786	GLR1_GL5_UP_1_concoct_72_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__PBB1	s__
2808	GLR22_GL16_DN_3_concoct_116	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFIP01	s__
2810	GLR3_GL5_UP_3_concoct_104	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__TH1-2	g__Aquidulcibacter	s__
2811	GLR3_GL5_UP_3_concoct_19	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__LMDS01	s__
2813	GLR56_GL46_UP_1_metabat_13	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2823	GLR68_GL53_UP_2_concoct_41	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__AAP99	s__
2825	GLR68_GL53_UP_2_concoct_68	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Cellvibrionaceae	g__Cellvibrio	s__
2826	GLR68_GL53_UP_2_metabat_13_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFIP01	s__
2828	GLR68_GL53_UP_2_metabat_54	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
2829	GLR68_GL53_UP_2_metabat_7_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFIP01	s__
2832	GLR80_GL56_UP_1_concoct_13_sub	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__
2835	GLR80_GL56_UP_1_concoct_43	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__
2836	GLR80_GL56_UP_1_concoct_68	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFIP01	s__
2840	GLR80_GL56_UP_1_concoct_93_sub	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__Casimicrobium	s__
2847	GLR81_GL56_UP_2_concoct_51	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__
2850	GLR81_GL56_UP_2_concoct_94	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Ahniellaceae	g__0-14-3-00-62-12	s__
2851	GLR81_GL56_UP_2_metabat_14	3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__	s__
2855	GLR81_GL56_UP_2_metabinner_14	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__UBA1936	s__
15	336R_concoct_63	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767	f__B-17BO	g__UBA2475	s__
17	336R_metabat_250_sub	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__ELB16-189	s__
30	336R_metabinner_29_sub	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__ELB16-189	s__
36	336R_metabinner_61	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767	f__2-12-FULL-35-15	g__2-12-FULL-35-15	s__
42	337R_metabinner_1	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__
43	337R_metabinner_13	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__CAIVPM01	s__
44	337R_metabinner_14	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__
48	337R_metabinner_52	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Arcicella	s__
68	338R_metabinner_2	4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UBA955	g__JABMMZ01	s__
